Ranking,Songs,Artist,Url,Release_year,Speed_song,Slowed_song
54,6 Foot 7 Foot - Explicit Version,Lil Wayne,https://ads.tiktok.com/business/creativecenter/song/6-Foot-7-Foot-Explicit-Version-6928533954304444418?countryCode=US&period=120,2010,False,False
4,Aesthetic,Tollan Kim,https://ads.tiktok.com/business/creativecenter/song/Aesthetic-7072513628145977346?countryCode=US&period=120,2022,False,False
76,"All For Us (from the HBO Original Series ""Euphoria"")",Labrinth & Zendaya,https://ads.tiktok.com/business/creativecenter/song/All-For-Us-from-the-HBO-Original-Series-%22Euphoria%22-7049588955179666177?countryCode=US&period=120,2019,False,False
43,BILLIE EILISH.,Armani White,https://ads.tiktok.com/business/creativecenter/song/BILLIE-EILISH-7066955030477212462?countryCode=US&period=120,2022,False,False
69,BO$$ CHICK,Saweetie,https://ads.tiktok.com/business/creativecenter/song/BO-CHICK-7203172674389691182?countryCode=US&period=120,2022,False,False
7,Beat Automotivo Tan Tan Tan Viral,WZ Beat,https://ads.tiktok.com/business/creativecenter/song/Beat-Automotivo-Tan-Tan-Tan-Viral-7098939394085702406?countryCode=US&period=120,2022,False,False
99,Bed Peace,Jhené Aiko,https://ads.tiktok.com/business/creativecenter/song/Bed-Peace-7217545870558890795?countryCode=US&period=120,2013,False,False
5,Big Boy Speed Up,Dj Kampung,https://ads.tiktok.com/business/creativecenter/song/Big-Boy-Speed-Up-7193959214111442946?countryCode=US&period=120,2022,True,False
38,Chill Vibes,Tollan Kim,https://ads.tiktok.com/business/creativecenter/song/Chill-Vibes-7084465663108089857?countryCode=US&period=120,2022,False,False
53,Christmas Kids,Roar,https://ads.tiktok.com/business/creativecenter/song/Christmas-Kids-6799293225149417474?countryCode=US&period=120,2019,False,False
8,Collide (more sped up),Justine Skye,https://ads.tiktok.com/business/creativecenter/song/Collide-more-sped-up-7179005122687551489?countryCode=US&period=120,2014,True,False
11,Collide (more sped up),Justine Skye,https://ads.tiktok.com/business/creativecenter/song/Collide-more-sped-up-7171820650175269637?countryCode=US&period=120,2014,True,False
55,Collide (sped up),Justine Skye,https://ads.tiktok.com/business/creativecenter/song/Collide-sped-up-7178999968751945730?countryCode=US&period=120,2014,True,False
17,Collide (sped up),Justine Skye,https://ads.tiktok.com/business/creativecenter/song/Collide-sped-up-7149845524978338561?countryCode=US&period=120,2014,True,False
19,Cool Kids (our sped up version),Echosmith,https://ads.tiktok.com/business/creativecenter/song/Cool-Kids-our-sped-up-version-7136115827699124226?countryCode=US&period=120,2013,True,False
89,Cute,Aurel Surya Lie,https://ads.tiktok.com/business/creativecenter/song/Cute-7136445672676411393?countryCode=US&period=120,2022,False,False
79,Dandelions (slowed + reverb),Ruth B. & sped up + slowed,https://ads.tiktok.com/business/creativecenter/song/Dandelions-slowed-reverb-6998574909743958017?countryCode=US&period=120,2017,False,True
77,Excuse My French,Nardo Wick,https://ads.tiktok.com/business/creativecenter/song/Excuse-My-French-7123047352625006594?countryCode=US&period=120,2021,False,False
72,Funny Song,Cavendish Music,https://ads.tiktok.com/business/creativecenter/song/Funny-Song-6732536571318257666?countryCode=US&period=120,2018,False,False
87,Get You The Moon,Kina,https://ads.tiktok.com/business/creativecenter/song/Get-You-The-Moon-6833934234948732941?countryCode=US&period=120,2018,False,False
40,Goofy Ahh Beat,Obma,https://ads.tiktok.com/business/creativecenter/song/Goofy-Ahh-Beat-7083924497337714690?countryCode=US&period=120,2022,False,False
51,Green Green Grass (Sped-Up),George Ezra,https://ads.tiktok.com/business/creativecenter/song/Green-Green-Grass-Sped-Up-7111302646232795910?countryCode=US&period=120,2022,True,False
61,Healing Solfeggio Frequency 528Hz(817269),Ikumi Tanuma,https://ads.tiktok.com/business/creativecenter/song/Healing-Solfeggio-Frequency-528Hz-817269-6904652369384966146?countryCode=US&period=120,2019,False,False
6,Her Way (Sped Up),PARTYNEXTDOOR,https://ads.tiktok.com/business/creativecenter/song/Her-Way-Sped-Up-7123654694953585454?countryCode=US&period=120,2014,True,False
90,Hit em Up,2Pac,https://ads.tiktok.com/business/creativecenter/song/Hit-em-Up-7199153309091891202?countryCode=US&period=120,1996,False,False
16,I Think I Like When It Rains,WILLIS,https://ads.tiktok.com/business/creativecenter/song/I-Think-I-Like-When-It-Rains-6895811481653266433?countryCode=US&period=120,2017,False,False
29,I WANNA RIDE (Sped Up),Joseline Hernandez,https://ads.tiktok.com/business/creativecenter/song/I-WANNA-RIDE-Sped-Up-7076278610289543978?countryCode=US&period=120,2022,True,False
12,It's A Wrap - Sped Up,Mariah Carey,https://ads.tiktok.com/business/creativecenter/song/It-s-A-Wrap-Sped-Up-7109548851984190213?countryCode=US&period=120,2009,True,False
13,It’s Called: Freefall (Sped Up),Rainbow Kitten Surprise,https://ads.tiktok.com/business/creativecenter/song/It%E2%80%99s-Called-Freefall-Sped-Up-7193769810337139462?countryCode=US&period=120,2018,True,False
71,Just A Girl,No Doubt,https://ads.tiktok.com/business/creativecenter/song/Just-A-Girl-6740249715385829378?countryCode=US&period=120,1995,False,False
66,Just Wanna Rock,Lil Uzi Vert,https://ads.tiktok.com/business/creativecenter/song/Just-Wanna-Rock-7143731623425526574?countryCode=US&period=120,2022,False,False
